"Zip.Code" "Total.Population"
"1" 91371 1
"2" 90001 57110
"3" 90002 51223
"8" 90007 40920
"9" 90008 32327
"10" 90010 3800
"12" 90012 31103
"13" 90013 11772
"14" 90014 7005
"15" 90015 18986
"17" 90017 23768
"21" 90021 3951
"23" 90023 45903
"28" 90028 28714
"29" 90029 38617
"30" 90031 39316
"31" 90032 45786
"32" 90033 48852
"34" 90035 28418
"37" 90038 28917
"38" 90039 28514
"39" 90040 12520
"40" 90041 27425
"47" 90048 21397
"49" 90056 7827
"51" 90058 3223
"52" 90059 40952
"53" 90061 26872
"54" 90062 32821
"55" 90063 55758
"56" 90064 25403
"57" 90065 45527
"59" 90067 2424
"60" 90068 22286
"61" 90069 20483
"62" 90071 15
"63" 90073 539
"64" 90077 9377
"65" 90079 0
"66" 90089 3217
"67" 90090 0
"68" 90094 5464
"69" 90095 3
"71" 90210 21741
"72" 90211 8434
"73" 90212 11555
"74" 90220 49328
"75" 90221 53704
"76" 90222 31869
"77" 90230 31766
"78" 90232 15149
"79" 90240 25876
"80" 90241 42399
"81" 90242 43497
"82" 90245 16654
"84" 90248 9947
"85" 90249 26669
"87" 90254 19506
"89" 90260 34924
"90" 90262 69745
"91" 90263 1612
"92" 90265 18116
"93" 90266 35135
"94" 90270 27372
"95" 90272 22986
"96" 90274 25209
"101" 90290 6368
"102" 90291 28341
"103" 90292 21576
"104" 90293 12132
"105" 90301 36568
"106" 90302 29415
"107" 90303 26176
"108" 90304 28210
"109" 90305 14853
"110" 90401 6722
"111" 90402 12250
"112" 90403 24525
"113" 90404 21360
"114" 90405 27186
"115" 90501 43180
"116" 90502 18010
"118" 90504 32102
"119" 90505 36678
"120" 90506 0
"121" 90601 31974
"122" 90602 25777
"123" 90603 20063
"124" 90604 39407
"125" 90605 40331
"126" 90606 32396
"127" 90621 35153
"128" 90623 15554
"131" 90638 49012
"135" 90670 14866
"136" 90701 16591
"138" 90704 4090
"140" 90710 25457
"141" 90712 31499
"142" 90713 27925
"143" 90715 20388
"144" 90716 14184
"145" 90717 21318
"146" 90720 21751
"147" 90723 54099
"149" 90732 21115
"150" 90740 23729
"151" 90744 53815
"153" 90746 25990
"154" 90747 0
"155" 90755 11074
"158" 90804 40311
"160" 90806 42399
"161" 90807 31481
"162" 90808 38232
"163" 90810 36735
"165" 90814 19131
"166" 90815 39733
"167" 90822 117
"168" 90831 0
"169" 91001 36126
"170" 91006 31715
"171" 91007 34095
"172" 91008 1391
"173" 91010 26074
"174" 91011 20280
"176" 91020 8415
"177" 91024 10917
"178" 91030 25616
"179" 91040 20372
"180" 91042 27585
"181" 91046 156
"182" 91101 20460
"183" 91103 27480
"184" 91104 36751
"185" 91105 11254
"186" 91106 24229
"187" 91107 32940
"188" 91108 13361
"189" 91201 22781
"190" 91202 22830
"191" 91203 13220
"192" 91204 16032
"193" 91205 37810
"194" 91206 33065
"195" 91207 10506
"196" 91208 16245
"197" 91210 328
"198" 91214 30356
"199" 91301 25488
"200" 91302 25709
"201" 91303 26855
"203" 91306 45061
"204" 91307 24474
"205" 91311 36557
"206" 91316 26898
"207" 91321 34882
"208" 91324 27669
"209" 91325 32417
"210" 91326 33708
"211" 91330 2702
"214" 91340 34188
"218" 91345 18496
"219" 91350 33348
"220" 91351 32362
"221" 91352 47807
"222" 91354 28722
"223" 91355 32605
"224" 91356 29458
"225" 91361 20438
"226" 91362 36045
"227" 91364 25851
"229" 91377 13811
"230" 91381 20158
"231" 91384 29855
"232" 91387 40328
"233" 91390 19786
"234" 91401 39285
"236" 91403 23484
"239" 91411 24628
"240" 91423 30991
"241" 91436 14372
"242" 91501 20849
"243" 91502 11371
"244" 91504 24939
"245" 91505 30778
"246" 91506 18904
"248" 91602 17473
"249" 91604 29034
"251" 91606 44958
"252" 91607 27927
"253" 91608 0
"258" 91711 35705
"259" 91722 34409
"260" 91723 18275
"261" 91724 26184
"262" 91731 29591
"263" 91732 61386
"264" 91733 43896
"265" 91740 25356
"266" 91741 25824
"269" 91746 30485
"270" 91748 45406
"271" 91750 33249
"272" 91754 32742
"273" 91755 27496
"274" 91759 476
"275" 91763 36375
"278" 91767 48068
"279" 91768 34537
"281" 91773 33119
"282" 91775 23988
"283" 91776 38475
"284" 91780 34332
"285" 91784 25938
"287" 91789 43079
"288" 91790 44907
"289" 91791 32414
"290" 91792 30854
"292" 91803 30322
"293" 92301 32725
"294" 92371 16763
"295" 92372 6220
"296" 92397 4894
"297" 92821 35533
"298" 92823 3613
"300" 93040 2031
"302" 93225 5077
"303" 93243 1699
"304" 93252 4176
"305" 93510 7993
"306" 93523 3074
"307" 93532 2932
"308" 93534 39341
"311" 93543 13033
"312" 93544 1259
"315" 93552 38158
"316" 93553 2138
"317" 93560 18910
"318" 93563 388
"319" 93591 7285
